2021-08-18 16:53:51,374; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 1
2021-08-18 16:53:51,376; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:53:51,593; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E-02
2021-08-18 16:53:59,598; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:53:59,598; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:53:59,694; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 3.51E-05
2021-08-18 16:54:07,906; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:54:07,906; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:54:08,003; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E-01
2021-08-18 16:54:22,871; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 1
2021-08-18 16:54:22,873; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:54:22,998; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E-02
2021-08-18 16:54:31,244; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:54:31,244; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:54:31,343; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E+00
2021-08-18 16:54:39,449; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:54:39,450; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:54:39,561; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-01
2021-08-18 16:55:12,005; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 1
2021-08-18 16:55:12,006; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:55:12,144; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-02
2021-08-18 16:55:20,638; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:55:20,639; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:55:20,761; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 6.58E-01
2021-08-18 16:55:29,386; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:55:29,387; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 1000
2021-08-18 16:55:29,540; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.52E+00
2021-08-18 16:55:41,449; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:55:41,450; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 800
2021-08-18 16:55:41,555; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.52E-02
2021-08-18 16:55:52,725; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:55:52,726; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 640
2021-08-18 16:55:52,855; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-03
2021-08-18 16:56:03,139; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:56:03,139; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 533
2021-08-18 16:56:03,231; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.23E-02
2021-08-18 16:56:12,314; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:56:12,315; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 457
2021-08-18 16:56:12,407; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-01
2021-08-18 16:56:21,274; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:56:21,275; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 400
2021-08-18 16:56:21,371; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 16:56:29,624; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:56:29,625; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 355
2021-08-18 16:56:29,723; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 16:56:38,316; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:56:38,316; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 320
2021-08-18 16:56:38,411; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.85E-01
2021-08-18 16:56:46,610; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:56:46,611; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 290
2021-08-18 16:56:46,701; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-04
2021-08-18 16:56:54,785; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:56:54,787; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 266
2021-08-18 16:56:54,885; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-03
2021-08-18 16:57:02,697; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:57:02,698; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 246
2021-08-18 16:57:02,806; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-02
2021-08-18 16:57:10,662; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:57:10,662; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 228
2021-08-18 16:57:10,755; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 3.51E-03
2021-08-18 16:57:18,129; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:57:18,130; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 213
2021-08-18 16:57:18,218; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-02
2021-08-18 16:57:25,623; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:57:25,623; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 200
2021-08-18 16:57:25,724; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E+00
2021-08-18 16:57:33,097; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
